61	
	-9.897980144e-32	-0.8414709848	-0.475656906	-0.7785042971	-0.7125577963
	-0.5603868566	-0.09897980144	-0.09897980144	-0.1969875109	-0.2930605834
	-0.3862554744	-0.8414709848	-0.5490719326	-0.6544928561	-0.7759814311
	-0.6396131836	-0.221247004	-0.1970917121	-0.1969875109	-0.2931102323
	-0.5039529387	-0.4069126896	-0.6222839636	-0.8414709848	-0.7259510835
	-0.7407792739	-0.2932550035	-0.2931453679	-0.2930605834	-0.4074410449
	-0.5221205618	-0.6359438319	-0.7374237249	-0.8414709848	-0.4073361416
	-0.4071402909	-0.3862554744	-0.5811473674	-0.745008722	-0.8414709848
	-0.5225123152	-0.5042572189	-0.475656906	-0.6369068785	-0.7373011243
	-0.8414709848	-0.5603868566	-0.618975813	-0.6011987325	-0.7377613086
	-0.8414709848	-0.6396131836	-0.6553444026	-0.7263837979	-0.8414709848
	-0.7125577963	-0.7402081396	-0.8414709848	-0.7785042971	-0.8414709848
	-0.8414709848	
